Title;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin
How to Optimize Connection Between PACS and Clinical Data Warehouse: A Web Service Approach Based on Full Metadata Integration.;35672964;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
Updating Urinary Microbiome Analyses to Enhance Biologic Interpretation.;35899056;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
Validation pipeline for machine learning algorithm assessment for multiple vendors.;35486572;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
Gender disparity in telehealth usage in Bangladesh during COVID-19.;35036972;Yes;n/a;2022;;Yes;BD;BD;Institute for Health Metrics and Evaluation;BD
Ensemble Approaches to Recognize Protected Health Information in Radiology Reports.;35715655;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
Systemic Lupus Erythematosus Delivery Outcomes Are Unchanged Across Three Decades.;35670028;Yes;n/a;2022;13;No;US;US;Vanderbilt University Medical Center;US
Predictive modeling of morbidity and mortality in COVID-19 hospitalized patients and its clinical implications.;33300013;No (excluded before screening);Preprint;2021;;;;;;
Cost Analysis of Routine Vitrectomy Surgery.;33588067;No (not retrieved);Not retrieved;2021;;;;;;
Sexual Orientation Demographic Data in a Clinical Cohort of Transgender Patients.;33730758;Yes;n/a;2021;;No;US;US;New York University Langone Health;US
Student perceptions of a teaching electronic medical record in Health Administration education.;36474597;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
Emulating Control Arms for Cancer Clinical Trials Using External Cohorts Created From Electronic Health Record-Derived Real-World Data.;34197637;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
The SHOnet learning health system: Infrastructure for continuous learning in pediatric rehabilitation.;35860324;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
Identifying Determinants of Disparities in Lung Cancer Survival Rates from Electronic Health Record Data.;35612188;Yes;n/a;2022;2;No;US;US;Mount Sinai Health System;US
Compilation of longitudinal gut microbiome, serum metabolome, and clinical data in acute myeloid leukemia.;35918343;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
I2b2-etl: Python application for importing electronic health data into the informatics for integrating biology and the bedside platform.;36053173;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2022;;;;;;
Data Quality Check in Cancer Imaging Research: Deploying and Evaluating the DIQCT Tool.;36085798;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2022;;;;;;
Combinatorial Analysis of Phenotypic and Clinical Risk Factors Associated With Hospitalized COVID-19 Patients.;34713134;Yes;n/a;2021;22;Yes;UK;UK;UnitedHealth Group;US
Aligning EHR Data for Pediatric Leukemia With Standard Protocol Therapy.;33656914;Yes;n/a;2021;2;No;US;US;Cerner Corporation;US
Identifying developmental stuttering and associated comorbidities in electronic health records and creating a phenome risk classifier.;33894541;Yes;n/a;2021;5;No;US;US;Vanderbilt University Medical Center;US
Factors Associated with Thoughts of Self-Harm or Suicide among Aboriginal and Torres Strait Islander People Presenting to Urban Primary Care: An Analysis of De-Identified Clinical Data.;35010413;Yes;n/a;2021;5;No;AU;AU;Southern Queensland Centre of Excellence in Aboriginal and Torres Strait Islander Primary Health Care;AU
Recurrent neural network models (CovRNN) for predicting outcomes of patients with COVID-19 on admission to hospital: model development and validation using electronic health record data.;35466079;Yes;n/a;2022;22;Yes;US;US;Cerner Corporation, Optum;US
The US Department of Veterans Affairs Science and Health Initiative to Combat Infectious and Emerging Life-Threatening Diseases (VA SHIELD): A Biorepository Addressing National Health Threats.;36601554;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
Development and Implementation of a Multisite Registry Using Structured Templates for Actionable Findings in the Kidney.;35346619;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
Increased healthcare costs by later stage cancer diagnosis.;36096813;Yes;n/a;2022;2;No;US;US;Optum;US
Weather variables as important clinical predictors of bacterial diarrhoea among international travellers.;35134202;Yes;n/a;2022;1;No;US;US;Bumrungrad International Hospital, CIWEC Travel Medicine Center;TH, NP
De-identifying Socioeconomic Data at the Census Tract Level for Medical Research Through Constraint-based Clustering.;35309009;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;;;;;;
Physician variation in the de-adoption of ineffective statin and fibrate therapy.;33569804;Yes;n/a;2021;4;No;US;US;Optum;US
The diagnostic certainty levels of junior clinicians: A retrospective cohort study.;34112021;Yes;n/a;2022;;No;UK;UK;Royal London Hospital;UK
Leveraging genomic diversity for discovery in an electronic health record linked biobank: the UCLA ATLAS Community Health Initiative.;36085083;Yes;n/a;2022;;No;US;US;University of California Los Angeles;US
Mining the Data: Exploring Rural Patients' Attitudes about the Use of Their Personal Information in Research.;35271430;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
Investigation of the Utility of Features in a Clinical De-identification Model: A Demonstration Using EHR Pathology Reports for Advanced NSCLC Patients.;35252956;No (excluded in title and abstract screening);No medical research (focus on anonymization);2022;;;;;;
Concept and Proof of the Lifelog Bigdata Platform for Digital Healthcare and Precision Medicine on the Cloud.;35040609;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
Mortality and readmission in the year following hospitalization for pneumonia among US adults.;34087608;Yes;n/a;2021;10;No;US;US;Optum;US
Takotsubo cardiomyopathy in orthotopic liver transplant recipients: A cohort study using multi-center pooled electronic health record data.;35317180;Yes;n/a;2022;9;No;US;US;IBM;US
Trust and Trade-Offs in Sharing Data for Precision Medicine: A National Survey of Singapore.;34575698;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;
Text mining occupations from the mental health electronic health record: a natural language processing approach using records from the Clinical Record Interactive Search (CRIS) platform in south London, UK.;33766838;Yes;n/a;2021;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
The quest for better clinical word vectors: Ontology based and lexical vector augmentation versus clinical contextual embeddings.;34004575;No (not retrieved);Not retrieved;2021;;;;;;
Barriers and facilitators to qualitative data sharing in the United States: A survey of qualitative researchers.;34972126;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;
A Novel Imputation Approach for Sharing Protected Public Health Data.;34529494;No (not retrieved);Not retrieved;2021;;;;;;
Clinical Impact of Adherence to NCCN Guidelines for Biomarker Testing and First-Line Treatment in Advanced Non-Small Cell Lung Cancer (aNSCLC) Using Real-World Electronic Health Record Data.;33537872;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Clinical Burden of Concomitant Joint Disease in Psoriasis: A US-Linked Claims and Electronic Health Records Database Analysis.;33818686;Yes;n/a;2021;12;No;US;US;Optum;US
Real-world treatment patterns and clinical outcomes among patients with advanced urothelial carcinoma in the United States.;34906410;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Rates of Pneumocystis jirovecii pneumonia and prophylaxis prescribing patterns in a large electronic health record cohort of patients with systemic lupus erythematosus.;36279805;Yes;n/a;2022;10;No;US;US;Vanderbilt University Medical Center;US
Advancing data science in drug development through an innovative computational framework for data sharing and statistical analysis.;34773974;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;;;;;;
Understanding Women's Cardiovascular Health Using MyStrengths+MyHealth: A Patient-Generated Data Visualization Study of Strengths, Challenges, and Needs Differences.;33998130;Yes;n/a;2021;9;No;US;US;University of Minnesota;US
Validation of rule-based algorithms to determine colorectal, breast, and cervical cancer screening status using electronic health record data from an urban healthcare system in New York City.;34976656;Yes;n/a;2021;2;No;US;US;New York University Langone Health;US
Pediatric CYP2D6 metabolizer status and post-tonsillectomy nausea and vomiting after ondansetron.;36350309;No (excluded before screening);Outside the search period;2023;;;;;;
CYP2D6 genotype and reduced codeine analgesic effect in real-world clinical practice.;33750887;Yes;n/a;2021;;No;US;US;Vanderbilt University Medical Center;US
History of Endometriosis Is Independently Associated with an Increased Risk of Ovarian Cancer.;36013285;Yes;n/a;2022;14;No;KZ;ES;Spanish National Health System;ES
Real-World Analysis of Thromboembolic Events and Mortality of COVID-19 Outpatients in the United States.;35996822;Yes;n/a;2022;9;Yes;US;US;Optum;US
Predicting Discharge Destination of Critically Ill Patients Using Machine Learning.;32750906;No (not retrieved);Not retrieved;2021;;;;;;
Early-onset eating disorders in Australian children: A national surveillance study showing increased incidence.;35979631;Yes;n/a;2022;5;No;AU;AU;Australian Paediatric Surveillance Unit;AU
The ReIMAGINE Multimodal Warehouse: Using Artificial Intelligence for Accurate Risk Stratification of Prostate Cancer.;34870187;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;
COVID Symptoms, Symptom Clusters, and Predictors for Becoming a Long-Hauler Looking for Clarity in the Haze of the Pandemic.;36154716;Yes;n/a;2022;22;Yes;US;US;University of California;US
Real-world treatment patterns of maintenance therapy in platinum-sensitive recurrent ovarian cancer.;34301411;No (not retrieved);Not retrieved;2021;;;;;;
Characterizing cancer and COVID-19 outcomes using electronic health records.;35507598;Yes;n/a;2022;22;Yes;US;US;Optum;US
Estimating the prevalence of neurosurgical interventions in adults with spina bifida using the Health Facts data set: implications for transition planning and the development of adult clinics.;34952525;Yes;n/a;2022;17;No;US;US;Cerner Corporation;US
A deep attention model to forecast the Length Of Stay and the in-hospital mortality right on admission from ICD codes and demographic data.;33872817;Yes;n/a;2021;;No;KR;KR;Massachusetts Institute of Technology;US
Physician decision support system for idiopathic sudden sensorineural hearing loss patients.;33177402;Yes;n/a;2021;8;No;TW;TW;Taipei Veterans General Hospital;TW
Kidney, limb and ophthalmic complications, and death in patients with nonvalvular atrial fibrillation and type 2 diabetes prescribed rivaroxaban or warfarin: an electronic health record analysis.;34166150;Yes;n/a;2021;9;No;US;US;Optum;US
Assessing Real-World Racial Differences Among Patients With Metastatic Triple-Negative Breast Cancer in US Community Practices.;35685754;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Describing characteristics and treatment patterns of patients hospitalized with COVID-19 by race and ethnicity in a national RWD during the early months of the pandemic.;36155644;Yes;n/a;2022;22;Yes;US;US;Optum;US
Efficacy of immune checkpoint inhibitor therapy in patients with RET fusion-positive non-small-cell lung cancer.;34139897;Yes;n/a;2021;2;No;US;US;Flatiron Health, Guardant Health;US
Early Prediction of Cardiogenic Shock Using Machine Learning.;35911549;Yes;n/a;2022;18;No;US;US;Banner Health;US
QTc Prolongation with the Use of Hydroxychloroquine and Concomitant Arrhythmogenic Medications: A Retrospective Study Using Electronic Health Records Data.;35665910;Yes;n/a;2022;9;No;US;US;Cerner Corporation;US
Development of a novel machine learning model to predict presence of nonalcoholic steatohepatitis.;33684933;Yes;n/a;2021;11;No;US;DE;Optum, National Institute of Diabetes and Digestive and Kidney Diseases;US
Predicting the immediate impact of national lockdown on neovascular age-related macular degeneration and associated visual morbidity: an INSIGHT Health Data Research Hub for Eye Health report.;34518162;No (excluded before screening);Outside the search period;2023;;;;;;
Complement-mediated hemolysis persists year round in patients with cold agglutinin disease.;34813663;Yes;n/a;2022;3;No;DE;US;Optum;US
Using business intelligence and data visualization to understand the characteristics of failed appointments in dental school clinics.;33508149;Yes;n/a;2021;;No;US;US;University of Michigan;US
Sociodemographic and clinical factors associated with receipt of biomarker testing in patients with metastatic colorectal cancer.;35837788;No (excluded before screening);Outside the search period;2023;;;;;;
Upper Gastrointestinal Bleeding Due to a Left Gastric Artery Pseudoaneurysm: A Case Series.;36478315;No (excluded before screening);Outside the search period;2023;;;;;;
Identifying community chronic kidney disease risk profile utilising general practice clinical records and spatial analysis: approach to inform policy and practice.;32449982;Yes;n/a;2021;14;No;AU;AU;Multiple;AU
Women with Rheumatoid Arthritis have similar rates of postpartum maternal outcomes compared to women without autoimmune disease.;35152084;Yes;n/a;2022;13;No;US;US;Vanderbilt University Medical Center;US
Real-World Data of Palbociclib in Combination With Endocrine Therapy for the Treatment of Metastatic Breast Cancer in Men.;34668577;Yes;n/a;2022;2;No;US;IT;Flatiron Health, Pfizer;US
Validity of algorithms for identifying five chronic conditions in MedicineInsight, an Australian national general practice database.;34090424;Yes;n/a;2021;;No;AU;AU;NPS MedicineWise;AU
Exploring public concerns for sharing and governance of personal health information: a focus group study.;34926998;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;
Real World Long-term Assessment of The Efficacy of Tocilizumab in Patients with COVID-19: Results From A Large De-identified Multicenter Electronic Health Record Dataset in the United States.;34597766;Yes;n/a;2021;22;Yes;US;US;Cerner Corporation;US
Are adults with autism receiving regular preventive dental services?;35636432;No (excluded before screening);Outside the search period;2023;;;;;;
Phenotypic prevalence of obesity and metabolic syndrome among an underdiagnosed and underscreened population of over 50 million children and adults.;36147487;Yes;n/a;2022;4;No;US;US;Epic Systems Corporation;US
Comparative All-Cause Mortality Among a Large Population of Patients with Spinal Muscular Atrophy Versus Matched Controls.;34936050;Yes;n/a;2022;6;No;US;US;Optum;US
Metabolic Acidosis and Cardiovascular Disease in CKD.;34746740;Yes;n/a;2021;14;No;CA;CA;Optum;US
Hydrops fetalis-trends in associated diagnoses and mortality from 1997-2018.;34385586;Yes;n/a;2021;16;No;US;US;Pediatrix Medical Group;US
Factors associated with COVID-19 viral and antibody test positivity and assessment of test concordance: a retrospective cohort study using electronic health records from the USA.;34598988;Yes;n/a;2021;22;Yes;US;US;Optum;US
Impact of communication modality on caregiver ratings for deaf and hard of hearing children.;34024209;Yes;n/a;2022;8;No;US;US;Not precisely specified;US
"Artificial Intelligence for Inflammatory Bowel Diseases (IBD); Accurately Predicting Adverse Outcomes Using Machine Learning.";35476181;Yes;n/a;2022;11;No;US;US;Optum;US
Clinical efficacy, timing, and outcomes of ERCP for management of bile duct leaks: a nationwide cohort study.;33553588;Yes;n/a;2021;11;No;US;US;IBM;US
A practical approach to identifying autistic adults within the electronic health record.;36377765;No (excluded before screening);Outside the search period;2023;;;;;;
Hospital admissions for dental disorders in patients with severe mental illness in Southeast London: A register-based cohort study.;33538014;Yes;n/a;2021;11;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Building External Control Arms From Patient-Level Electronic Health Record Data to Replicate the Randomized IMblaze370 Control Arm in Metastatic Colorectal Cancer.;33891473;Yes;n/a;2021;2;No;CH;CH;Flatiron Health, Foundation Medicine;US
Artificial Intelligence for Prognostic Scores in Oncology: a Benchmarking Study.;33937744;Yes;n/a;2021;2;No;DE;DE;Flatiron Health;US
Mortality Prediction Analysis among COVID-19 Inpatients Using Clinical Variables and Deep Learning Chest Radiography Imaging Features.;35894016;Yes;n/a;2022;22;Yes;US;US;Stony Brook University;US
Clinico-Genomic Characterization of Patients with Metastatic Urothelial Carcinoma in Real-World Practice Identifies a Novel Bladder Immune Performance Index (BIPI).;35877091;Yes;n/a;2022;2;No;UK;CH;Flatiron Health;US
Predicting In-hospital Mortality Using D-Dimer in COVID-19 Patients With Acute Ischemic Stroke.;34335456;Yes;n/a;2021;9;Yes;US;US;Optum;US
Left truncation in linked data: A practical guide to understanding left truncation and applying it using SAS and R.;35843723;No (excluded before screening);Outside the search period;2023;;;;;;
Does real-time artificial intelligence-based visual pathology enhancement of three-dimensional optical coherence tomography scans optimise treatment decision in patients with nAMD? Rationale and design of the RAZORBILL study.;34362776;No (excluded before screening);Outside the search period;2023;;;;;;
Real-world treatment patterns and outcomes of abemaciclib for the treatment of HR+, HER2- metastatic breast cancer.;33970738;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Development and external validation of prediction models for adverse health outcomes in rheumatoid arthritis: A multinational real-world cohort analysis.;35728447;Yes;n/a;2022;13;No;NL;NL;Optum, Multiple;US, ES, EE, NL, DE, FR, UK, AU, JP
Development of a screening algorithm for borderline personality disorder using electronic health records.;35831356;Yes;n/a;2022;5;No;US;US;Cerner Corporation;US
Can natural language processing models extract and classify instances of interpersonal violence in mental healthcare electronic records: an applied evaluative study.;35172999;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
Community-acquired pneumonia in infants: Not simply an acute event with complete recovery.;34864372;Yes;n/a;2022;10;No;US;US;Optum;US
Prevalence of non-communicable diseases and associated medication use among Syrian refugees in Lebanon: an analysis of country-wide data from the Sijilli electronic health records database.;34663406;Yes;n/a;2021;;No;LB;LB;American University of Beirut;LB
Accuracy of emergency physicians' self-estimates of CT scan utilization and its potential effect on an audit and feedback intervention: a randomized trial.;34315533;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;;;;;;
Real-World Trends in Characteristics of Patients with Migraine Newly Initiated on Erenumab in the USA: A Retrospective Analysis.;33763828;Yes;n/a;2021;6;No;US;CH;Optum;US
Targeted Program in an Academic Rheumatology Practice to Improve Compliance With Opioid Prescribing Guidelines for the Treatment of Chronic Pain.;32558375;No (excluded in full-paper screening);No real-world application (findings not based on real-world data);2021;;;;;;
Identifying vulnerable populations at a university during the COVID-19 pandemic.;33577412;No (excluded before screening);Outside the search period;2023;;;;;;
Association Between Parental Type 1 and Type 2 Diabetes Diagnosis and Major Osteoporotic Fracture Risk in Adult Offspring: A Population-Based Cohort Study.;34053878;No (not retrieved);Not retrieved;2022;;;;;;
Adverse childhood experiences and adult self-harm in a female forensic population.;33958018;Yes;n/a;2022;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Validation analysis of a composite real-world mortality endpoint for patients with cancer in the United States.;33998685;Yes;n/a;2021;5;No;US;US;Flatiron Health;US
Word embeddings trained on published case reports are lightweight, effective for clinical tasks, and free of protected health information.;34920127;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
Influence of sex on survival rates of HPV-positive oropharyngeal cancers.;36119465;Yes;n/a;2022;2;No;DE;DE;TriNetX;various
Use of large scale EHR data to evaluate A1c utilization among sickle cell disease patients.;34537047;Yes;n/a;2021;3;No;US;US;Cerner Corporation;US
Timely orchiopexy by 18 months of age: Are we meeting the standards defined by the 2014 AUA guidelines?;35981940;Yes;n/a;2022;17;No;US;US;Cerner Corporation;US
Variability in 30-day major amputation rates following endovascular peripheral vascular intervention for critical limb ischemia.;35603755;Yes;n/a;2022;9;No;US;US;Cerner Corporation;US
Psychiatric healthcare resource utilization following initiation of aripiprazole once-monthly: a retrospective real-world study.;36380678;No (excluded before screening);Outside the search period;2023;;;;;;
Development and validation of an automated basal cell carcinoma histopathology information extraction system using natural language processing.;36439548;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
A new approach to identifying patients with elevated risk for Fabry disease using a machine learning algorithm.;34930374;Yes;n/a;2021;4;No;US;US;OM1;US
Emergency Department Drug Surveillance (EDDS) hospital's urinalysis results compared with expanded re-testing by an independent laboratory, a pilot study.;34871979;No (not retrieved);Not retrieved;2022;;;;;;
The impact of COVID-19 on adjusted mortality risk in care homes for older adults in Wales, UK: a retrospective population-based cohort study for mortality in 2016-2020.;32951042;Yes;n/a;2021;22;Yes;UK;UK;SAIL Databank;UK
Development and Validation of Algorithms to Identify COVID-19 Patients Using a US Electronic Health Records Database: A Retrospective Cohort Study.;35633659;Yes;n/a;2022;22;Yes;US;US;Optum;US
Academic-industry partnership advancing cannabis science: A Complementary Care Practice-Based Research Network.;35247600;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
Evaluation for clinical benefit of metformin in patients with idiopathic pulmonary fibrosis and type 2 diabetes mellitus: a national claims-based cohort analysis.;35410255;Yes;n/a;2022;10;No;US;US;Optum;US
Epidemiology of Eustachian tube dysfunction and related otologic diagnoses among children with achondroplasia.;36257169;No (not retrieved);Not retrieved;2022;;;;;;
Ranking Methodology to Evaluate the Severity of a Quality Gap Using a National EHR Database.;34457172;Yes;n/a;2021;3;No;US;US;Cerner Corporation;US
Antidepressant treatment and blood pressure control in patients with comorbid depression and treatment resistant hypertension.;34906849;No (not retrieved);Not retrieved;2022;;;;;;
Irritable bowel syndrome is strongly associated with the primary and idiopathic mast cell disorders.;34535952;Yes;n/a;2022;11;No;US;US;IBM;US
Middle ear cholesteatoma prevalence in over 3,600 children with Turner Syndrome.;35987131;No (not retrieved);Not retrieved;2022;;;;;;
Provider specialty and odds of a new codeine, hydrocodone, oxycodone and tramadol prescription before and after the CDC opioid prescribing guideline publication.;33636196;No (not retrieved);Not retrieved;2021;;;;;;
Performance of Multiple Imputation Using Modern Machine Learning Methods in Electronic Health Records Data.;36722803;No (excluded before screening);Outside the search period;2023;;;;;;
Underutilization of prophylactic rectal indomethacin and pancreatic duct stent for prevention of post-ERCP Pancreatitis.;34222616;Yes;n/a;2021;11;No;US;US;IBM;US
Impact of diabetes status and related factors on COVID-19-associated hospitalization: A nationwide retrospective cohort study of 116,370 adults with SARS-CoV-2 infection.;36400172;Yes;n/a;2022;4;Yes;US;US;Cerner Corporation;US
Differential frequency in imaging-based outcome measurement: Bias in real-world oncology comparative-effectiveness studies.;34227170;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Early Albumin Infusion Is Associated With Greater Survival to Discharge Among Patients With Sepsis/Septic Shock Who Develop Severe Acute Kidney Injury Among Patients With Sepsis/Septic Shock Who Develop Severe Acute Kidney Injury.;36583206;Yes;n/a;2022;18;No;US;US;Cerner Corporation;US
Achievement of glycemic control and antidepressant medication use in comorbid depression and type 2 diabetes.;36566931;No (excluded before screening);Outside the search period;2023;;;;;;
Incidence of COVID-19 Vaccination-Related Uveitis and Effects of Booster Dose in a Tertiary Uveitis Referral Center.;35814745;Yes;n/a;2022;22;Yes;SG;SG;Singapore National Eye Center;SG
Associations with baseline visual acuity in 12,414 eyes starting treatment for neovascular AMD.;36028762;No (excluded before screening);Outside the search period;2023;;;;;;
De-identifying Spanish medical texts - named entity recognition applied to radiology reports.;33781334;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;;;;;;
Using machine learning to model older adult inpatient trajectories from electronic health records data.;36691609;No (excluded before screening);Outside the search period;2023;;;;;;
Measuring continuity of care in general practice: a comparison of two methods using routinely collected data.;35995578;Yes;n/a;2022;;No;UK;UK;Multiple;UK
Assessing Oncologists' Adoption of Biomarker Testing in Metastatic Colorectal Cancer Using Real-World Data.;36149298;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Racial inequities in second-line treatment and overall survival among patients with metastatic breast cancer.;36028783;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Long-term benzodiazepines and z-drug prescribing in Australian general practice between 2011 and 2018: A national study.;34918876;Yes;n/a;2022;;No;AU;AU;NPS MedicineWise;AU
Evaluation of Electronic Health Records to Monitor Illness From Harmful Algal Bloom Exposure in the United States.;36060209;Yes;n/a;2021;20;No;US;US;IBM;US
The incidence of hydrocephalus among patients with and without spinal muscular atrophy (SMA): Results from a US electronic health records study.;33962637;Yes;n/a;2021;6;No;US;US;Optum;US
A machine learning approach to identifying patients with pulmonary hypertension using real-world electronic health records.;36528138;No (excluded before screening);Outside the search period;2023;;;;;;
A Hybrid System of Braden Scale and Machine Learning to Predict Hospital-Acquired Pressure Injuries (Bedsores): A Retrospective Observational Cohort Study.;36611323;Yes;n/a;2022;12;No;US;US;ChristianaCare hospital;US
Pancreatic adenocarcinoma in liver transplant recipients: a case series.;34825179;Yes;n/a;2021;2;No;US;US;Vanderbilt University Medical Center;US
Preoperative vitamin D deficiency is associated with increased risk of postoperative hypocalcemia after total thyroidectomy.;33789986;Yes;n/a;2021;4;No;US;US;Cerner Corporation;US
Characterizing Thrombotic Complication Risk Factors Associated With COVID-19 via Heterogeneous Patient Data: Retrospective Observational Study.;36044652;Yes;n/a;2022;22;Yes;US;US;IBM, Mass General Brigham;US
Characterizing sleep disorders in an autism-specific collection of electronic health records.;35367909;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
Real world evidence of the use of metamizole (dipyrone) by the Brazilian population. A retrospective cohort with over 380,000 patients.;35584441;Yes;n/a;2022;;No;BR;BR;Amil;BR
Characterization of a Real-World Response Variable and Comparison with RECIST-Based Response Rates from Clinical Trials in Advanced NSCLC.;33674928;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Are Social Determinants of Health Associated With Onset of Rehabilitation Services in Patients Hospitalized for Traumatic Brain Injury?;36730956;No (excluded before screening);Outside the search period;2023;;;;;;
COVID-19 severity and outcome in multiple sclerosis: Results of a national, registry-based, matched cohort study.;34418735;Yes;n/a;2021;6;Yes;US;US;Optum;US
Performance of diagnostic coding and laboratory testing results to measure COVID-19 during pregnancy and associations with pregnancy outcomes.;35077581;Yes;n/a;2022;15;Yes;US;US;Optum;US
Transporting observational study results to a target population of interest using inverse odds of participation weighting.;36520950;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Beyond Frontline Therapy with Abiraterone and Enzalutamide in Metastatic Castration-Resistant Prostate Cancer: A Real-World US Study.;34373223;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Measuring text similarity and its associated factors in electronic nursing progress notes: A retrospective review.;35581712;No (excluded before screening);Outside the search period;2023;;;;;;
Disorder predispositions and protections of Labrador Retrievers in the UK.;34262062;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;;;;;;
CHA(2)DS(2)VASc score as a predictor of ablation success defined by continuous long-term monitoring.;35917047;Yes;n/a;2022;9;No;US;US;Optum;US
Thromboembolism, bleeding and vascular death in nonvalvular atrial fibrillation patients with type 2 diabetes receiving rivaroxaban or warfarin.;33637082;Yes;n/a;2021;9;No;US;US;Optum;US
The correlations among racial/ethnic groups, hypertriglyceridemia, thrombosis, and mortality in hospitalized patients with COVID-19.;36494155;Yes;n/a;2022;22;Yes;US;US;Not precisely specified;US
Genomic testing among patients with newly diagnosed advanced non-small cell lung cancer in the United States: A contemporary clinical practice patterns study.;35397297;Yes;n/a;2022;2;No;ES;FR;Flatiron Health;US
Front-line treatment patterns in multiple myeloma: An analysis of U.S.-based electronic health records from 2011 to 2019.;34402201;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
A Case Report of Secondary Syphilis Co-Infected with Measles: A Diagnostic Dilemma with Fever and Rash.;35622697;Yes;n/a;2022;1;No;TH;JP;Hospital for Tropical Diseases;TH
Use of the PROMIS-10 global health in patients with chronic low back pain in outpatient physical therapy: a retrospective cohort study.;34487270;Yes;n/a;2021;13;No;US;US;University of California;US
Collection of cancer Patient Reported Outcome Measures (PROMS) to link with primary and secondary electronic care records to understand and improve long term cancer outcomes: A protocol paper.;35427401;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2022;;;;;;
Inequity in access to continuous glucose monitoring and health outcomes in paediatric diabetes, a case for national continuous glucose monitoring funding: A cross-sectional population study of children with type 1 diabetes in New Zealand.;36419466;No (excluded before screening);Outside the search period;2023;;;;;;
Breed and conformational predispositions for prolapsed nictitating membrane gland (PNMG) in dogs in the UK: A VetCompass study.;35081121;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2022;;;;;;
Long-term prescription opioid users' risk for new-onset depression increases with frequency of use.;34855645;Yes;n/a;2022;5;No;US;US;Optum;US
Trends and patterns of benzodiazepines and Z-drugs prescriptions in Australian general practice: A national study (2011-2018).;36217261;No (excluded before screening);Outside the search period;2023;;;;;;
Effectiveness of the Recombinant Zoster Vaccine for Herpes Zoster Ophthalmicus in the United States.;33892049;Yes;n/a;2021;1;No;US;US;Optum;US
Performance assessment of different machine learning approaches in predicting diabetic ketoacidosis in adults with type 1 diabetes using electronic health records data.;33480091;Yes;n/a;2021;4;No;US;US;Optum;US
Loss of function of lysosomal acid lipase (LAL) profoundly impacts osteoblastogenesis and increases fracture risk in humans.;33838322;Yes;n/a;2021;4;No;US;US;Optum;US
Treatment Patterns in US Patients Receiving First-Line and Second-Line Therapy for Metastatic Pancreatic Ductal Adenocarcinoma in the Real World.;36197644;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Investigation of dual antiplatelet therapy after coronary stenting in patients with chronic kidney disease.;34347826;Yes;n/a;2021;14;No;TW;TW;Taipei Medical University Hospital;TW
