Title;Authors;PMID;Include;Reason for exclusion;Publishing year;Publishing month;Submission year;Submission month;Research data;Healthcare data;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin;Time-to-Publication
Anemia Screening in Naval Aviation: Is Hemoglobin a Better Indicator Than Hematocrit as the Primary Index?;Nguyen WB and Wyse JM and Drollinger SM and Cheng K;31665402;Yes;;2020;3;na;na;No;Yes;3;No;US;US;Naval Aerospace Medical Institute Clinic;US;
Metformin and risk of mortality in patients hospitalised with COVID-19: a retrospective cohort analysis.;Bramante CT and Ingraham NE and Murray TA and Marmor S and Hovertsen S and Gronski J and McNeil C and Feng R and Guzman G and Abdelwahab N and King S and Tamariz L and Meehan T and Pendleton KM and Benson B and Vojta D and Tignanelli CJ;33521772;Yes;;2021;1;na;na;No;Yes;22;Yes;US;US;UnitedHealth Group;US;
Real-World Outcomes and Prognostic Factors Among Patients with Advanced Non-Small Cell Lung Cancer and High PD-L1 Expression Treated with Immune Checkpoint Inhibitors as First-Line Therapy.;Ge W and Wu N and Jalbert JJ and Quek RGW and Liu J and Rietschel P and Pouliot JF and Harnett J and Hsu ML and Feliciano JL;36415537;Yes;;2022;;2022;6;No;Yes;2;No;US;US;Flatiron Health;US;
Comparing the Clinical Frailty Scale and an International Classification of Diseases-10 Modified Frailty Index in Predicting Long-Term Survival in Critically Ill Patients.;Subramaniam A and Ueno R and Tiruvoipati R and Darvall J and Srikanth V and Bailey M and Pilcher D and Bellomo R;36259062;Yes;;2022;10;na;na;No;Yes;;No;AU;AU;Multiple;AU;
Outcomes of acute limb ischemia in COVID-19.;Pham A and Heib A and Goodman E and Lipsitz E and Indes J;35970633;Yes;;2022;10;2021;11;No;Yes;9;Yes;US;US;TriNetX;US;11.0
West Highland White Terriers under primary veterinary care in the UK in 2016: demography, mortality and disorders.;O'Neill DG and Ballantyne ZF and Hendricks A and Church DB and Brodbelt DC and Pegram C;31508236;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;2019;6;No;Yes;;;;;;;
Mortality Among Patients With Polymyalgia Rheumatica: A Retrospective Cohort Study.;Partington R and Muller S and Mallen CD and Abdul Sultan A and Helliwell T;32741132;Yes;;2021;12;2020;6;Yes;Yes;13;No;GB;GB;Clinical Practice Research Datalink, ONS;GB;18.0
Pediatric sepsis phenotypes for enhanced therapeutics: An application of clustering to electronic health records.;Koutroulis I and Velez T and Wang T and Yohannes S and Galarraga JE and Morales JA and Freishtat RJ and Chamberlain JM;35112102;Yes;;2022;2;2021;9;No;Yes;16;No;US;US;MedStar Washington Hospital Center;US;5.0
Is it time to use real-world data from primary care in Alzheimer's disease?;Ponjoan A and Garre-Olmo J and Blanch J and Fages E and Alves-Cabratosa L and Martí-Lluch R and Comas-Cufí M and Parramon D and Garcia-Gil M and Ramos R;32423489;Yes;;2020;5;2019;11;No;Yes;5;No;ES;ES;SIDIAP;ES;6.0
Development and Evaluation of a Point-of-Care Test in a Low-Resource Setting with High Rates of Chlamydia trachomatis Urogenital Infections in Fiji.;Dean D and Swaminathan S and Kama M and Goemans S and Faktaufon D and Alnabelseya N and Spelke D and Kahrizi K and Black M and Mitra D;33910964;Yes;;2021;6;na;na;No;Yes;1;No;US;US;Fijian Ministry of Health and Medical Services health centers and outreach locations;FJ;
Adherence to National Comprehensive Cancer Network ALK Testing Guidelines for Patients with Advanced Non-Small Cell Lung Cancer in U.S. Community Medical Centers.;Bernicker EH and Xiao Y and Abraham A and Yang B and Croix DA and Redpath S and Engstrom-Melnyk J and Shah R and Madala J and Allen TC;33823082;Yes;;2021;6;2021;1;No;Yes;2;No;US;US;Flatiron Health;US;5.0
Honouring 'Patient 38' - a mother of all IVF mothers?;Littleton F and Bewley S;30859140;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;6;2018;5;No;Yes;;;;;;;13.0
Machine Learning Based Prediction of Gamma Passing Rate for VMAT Radiotherapy Plans.;Sadowski B and Milewska K and Ginter J;36556291;Yes;;2022;12;2022;11;No;Yes;2;No;PL;PL;Maria Sklodowska-Curie National Research Institute of Oncology;PL;1.0
Susceptibility to COVID-19 Diagnosis in People with Down Syndrome Compared to the General Population: Matched-Cohort Study Using Primary Care Electronic Records in the UK.;Baksh RA and Strydom A and Pape SE and Chan LF and Gulliford MC;35386043;Yes;;2022;6;2021;12;Yes;Yes;17;Yes;GB;GB;Clinical Practice Research Datalink;GB;6.0
Multimorbidity in a selected cohort compared to a representative sample: Does selection bias influence outcomes?;Hanlon P and Bhautesh J and Mair F and McAllister D;36696232;No (excluded in full-paper screening);abstract only;2022;4;na;na;No;Yes;;;;;;;
Alcohol-Specific Mortality in People With Epilepsy: Cohort Studies in Two Independent Population-Based Datasets.;Gorton HC and Webb RT and Parisi R and Carr MJ and DelPozo-Banos M and Moriarty KJ and Pickrell WO and John A and Ashcroft DM;33551978;Yes;;2020;1;2020;10;Yes;Yes;5;No;GB;GB;Clinical Practice Research Datalink, SAIL Databank, Hospital Episode Statistics, Office for National Statistics;GB;-9.0
On the Annotation of Health Care Pathways to Allow the Application of Care-Plans That Generate Data for Multiple Purposes.;Ingvar M and Blom MC and Winsnes C and Robinson G and Vanfleteren L and Huff S;34713160;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;;na;na;No;Yes;;;;;;;
Individualised risk prediction model for new-onset, progression and regression of chronic kidney disease in a retrospective cohort of patients with type 2 diabetes under primary care in Hong Kong.;Yang L and Chu TK and Lian J and Lo CW and Zhao S and He D and Qin J and Liang J;32641324;Yes;;2020;7;na;na;No;Yes;4;No;CN;CN;New Territory West Cluster;CN;
Disorders of Bulldogs under primary veterinary care in the UK in 2013.;O'Neill DG and Skipper AM and Kadhim J and Church DB and Brodbelt DC and Packer RMA;31188857;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;2019;1;Yes;Yes;;;;;;;
Measuring continuity of care in general practice: a comparison of two methods using routinely collected data.;Hull SA and Williams C and Schofield P and Boomla K and Ashworth M;35995578;Yes;;2022;11;2022;1;No;Yes;;No;GB;GB;Multiple;GB;10.0
Social determinants of pertussis and influenza vaccine uptake in pregnancy: a national cohort study in England using electronic health records.;Walker JL and Rentsch CT and McDonald HI and Bak J and Minassian C and Amirthalingam G and Edelstein M and Thomas S;34155074;Yes;;2021;6;na;na;Yes;Yes;10;No;GB;GB;Clinical Practice Research Datalink;GB;
Primary care consultations after hospitalisation for pneumonia: a large population-based cohort study.;Baskaran V and Pearce F and Harwood RH and McKeever TM and Lim WS;33753348;Yes;;2021;4;2020;9;Yes;Yes;10;No;GB;GB;Clinical Practice Research Datalink, Hospital Episode Statistics, Office for National Statistics;GB;7.0
Safety of inadvertent administration of live zoster vaccine to immunosuppressed individuals in a UK-based observational cohort analysis.;Grint DJ and McDonald HI and Walker JL and Amirthalingam G and Andrews N and Thomas S;32001495;Yes;;2020;1;na;na;Yes;Yes;1;No;GB;GB;Clinical Practice Research Datalink;GB;
Protocol for an individual patient data meta-analysis on blood pressure targets after cardiac arrest.;Skrifvars MB and Ameloot K and Grand J and Reinikainen M and Hästbacka J and Niemelä V and Hassager C and Kjaergaard J and Åneman A and Tiainen M and Nielsen N and Ullen S and Dankiewicz J and Olsen MH and Jørgensen CK and Saxena M and Jakobsen JC;35616252;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;8;2022;4;No;Yes;;;;;;;4.0
The Induction with Foley OR Misoprostol (INFORM) Study dataset. A dataset of 602 women with hypertensive disease in pregnancy, in India, randomised to either Foley catheter or oral misoprostol for induction of labour.;Mundle S and Bracken H and Khedikar V and Mulik J and Faragher B and Easterling T and Leigh S and Granby P and Haycox A and Turner MA and Lightly K and Ebringer M and Alfirevic Z and Winikoff B and Weeks AD;34507611;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;9;2021;4;Yes;No;;;;;;;5.0
Two cases of monomorphic epitheliotropic intestinal T-cell lymphoma associated with coeliac disease.;Lenti MV and Biagi F and Lucioni M and Di Sabatino A and Paulli M and Corazza GR;31361171;No (excluded in full-paper screening);No tabular data;2019;8;na;na;No;Yes;2;No;IT;IT;;IT;
Long term extension of a randomised controlled trial of probiotics using electronic health records.;Davies G and Jordan S and Brooks CJ and Thayer D and Storey M and Morgan G and Allen S and Garaiova I and Plummer S and Gravenor M;29769554;Yes;;2018;5;2017;9;No;Yes;;No;GB;GB;SAIL Databank;GB;8.0
Ophthalmic Surgeries and Systemic Medical Conditions Associated With the Development of Involutional Ptosis.;Cohen LM and Campbell BC and Esfandiari M and Goldberg RA and Rootman DB;32427726;No (excluded in full-paper screening);No access;2021;3;na;na;No;Yes;;;US;US;;;
Using applied machine learning to predict healthcare utilization based on socioeconomic determinants of care.;Chen S and Bergman D and Miller K and Kavanagh A and Frownfelter J and Showalter J;31951356;Yes;;2020;1;na;na;Yes;Yes;;No;US;US;Multiple;US;
Quantifying Variation in Treatment Utilization for Type 2 Diabetes Across Five Major University of California Health Systems.;Peterson TA and Fontil V and Koliwad SK and Patel A and Butte AJ;33531419;Yes;;2021;4;2020;2;No;Yes;4;No;US;US;University of California;US;14.0
Aligning restricted access data with FAIR: a systematic review.;Martorana M and Kuhn T and Siebes R and van Ossenbruggen J;36091999;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;2022;4;Yes;No;;;;;;;
Immunolab: Combining targeted real-world data with advanced analytics to generate evidence at scale in immunology.;Hamelin B and Rowe P and Molony C and Kruger M and LoCasale R and Khan AH and Jacob-Nara J and Jacob D;36407087;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;2022;5;No;Yes;;;;;;;
Shoulder girdle injuries involving the medial clavicle differ from lateral clavicle injuries with a focus on concomitant injuries and management strategies: A retrospective study based on nationwide routine data.;Bakir MS and Unterkofler J and Hönning A and Haralambiev L and Kim S and Ekkernkamp A and Schulz-Drost S;31652299;Yes;;2019;10;2019;7;No;Yes;19;No;DE;DE;German Federal Statistical Office;DE;3.0
Gastrografin may reduce time to oral diet in prolonged post-operative ileus: a pooled analysis of two randomized trials.;Milne TGE and Vather R and O'Grady G and Miquel J and Biondo S and Bissett I;29510463;Yes;;2018;3;2017;12;Yes;Yes;11;No;NZ;NZ;;unknown;3.0
A Data-Driven Strategy for Identifying Individuals Resistant to SARS-CoV-2 Virus under In-Household Exposure.;Hen Gabzi R and Patalon T and Shomron N and Gazit S;36556196;Yes;;2022;11;2022;10;No;Yes;22;Yes;IL;IL;Maccabi Healthcare Services;IL;1.0
Diabetic retinopathy as a predictor of cardiovascular morbidity and mortality in subjects with type 2 diabetes.;Barrot J and Real J and Vlacho B and Romero-Aroca P and Simó R and Mauricio D and Mata-Cases M and Castelblanco E and Mundet-Tuduri X and Franch-Nadal J;36052329;Yes;;2022;;2022;5;No;Yes;9;No;ES;ES;SIDIAP;ES;
Ethnic inequalities in mental and physical multimorbidity in women of reproductive age: a data linkage cohort study.;Catalao R and Dorrington S and Pritchard M and Jewell A and Broadbent M and Ashworth M and Hatch S and Howard L;35840295;Yes;;2022;7;na;na;No;Yes;5;No;GB;GB;South London and Maudsley NHS Foundation Trust;GB;
A reporting and analysis framework for structured evaluation of COVID-19 clinical and imaging data.;Salg GA and Ganten MK and Bucher AM and Kenngott HG and Fink MA and Seibold C and Fischbach RE and Schlamp K and Velandia CA and Fervers P and Doellinger F and Luger A and Afat S and Merle U and Diener MK and Pereira PL and Penzkofer T and Persigehl T and Othman A and Heußel CP and Baumhauer M and Widmann G and Stathopoulos K and Hamm B and Vogl TJ and Nikolaou K and Kauczor HU and Kleesiek J;33846548;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;4;2020;8;No;Yes;;;;;;;8.0
Intra-database validation of case-identifying algorithms using reconstituted electronic health records from healthcare claims data.;Thurin NH and Bosco-Levy P and Blin P and Rouyer M and Jové J and Lamarque S and Lignot S and Lassalle R and Abouelfath A and Bignon E and Diez P and Gross-Goupil M and Soulié M and Roumiguié M and Le Moulec S and Debouverie M and Brochet B and Guillemin F and Louapre C and Maillart E and Heinzlef O and Moore N and Droz-Perroteau C;33933001;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;5;2020;12;No;Yes;;;;;;;5.0
Lidocaine 700 mg medicated plaster for postherpetic neuralgia: real-world data from the German Pain e-Registry.;Überall MA and Eerdekens M and Hollanders E and Bösl I and Sabatschus I;34372662;Yes;;2022;3;na;na;No;Yes;1;No;DE;DE;German Pain Association;DE;
Tapentadol prolonged release in patients with chronic low back pain: real-world data from the German Pain eRegistry.;Überall MA and Elling C and Eibl C and Müller-Schwefe GH and Lefeber C and Heine M and Heckes B;34376059;Yes;;2022;3;na;na;No;Yes;13;No;DE;DE;German Pain Association;DE;
Renin-Angiotensin Blockade Reduces Readmission for Acute Chest Syndrome in Sickle Cell Disease.;Wamkpah N and Shrestha A and Salzman G and Simon S and Suman S and Poisner A and Molteni A;35494947;Yes;;2022;3;na;na;No;Yes;3;No;US;US;Health Facts / Cerner;US;
Lack of a Tricuspid Regurgitation Doppler Signal and Pulmonary Hypertension by Invasive Measurement.;O'Leary JM and Assad TR and Xu M and Farber-Eger E and Wells QS and Hemnes AR and Brittain EL;29960993;Yes;;2018;6;na;na;No;Yes;9;No;US;US;Vanderbilt University Medical Center;US;
CE: Original Research: An Investigation into the Safety of Oral Intake During Labor.;Shea-Lewis A and Eckardt P and Stapleton D;29424752;Yes;;2018;3;na;na;No;Yes;15;No;US;US;Not precisely specified;US;
Real-world data suggest antibody positivity to SARS-CoV-2 is associated with a decreased risk of future infection.;Harvey RA and Rassen JA and Kabelac CA and Turenne W and Leonard S and Klesh R and Meyer WA 3rd and Kaufman HW and Anderson S and Cohen O and Petkov VI and Cronin KA and Van Dyke AL and Lowy DR and Sharpless NE and Penberthy LT;33354682;No (excluded before screening);preprint;2020;12;na;na;No;Yes;;;;;;;
The Safety of the Kahook Dual Blade in the Surgical Treatment of Glaucoma.;Barry M and Alahmadi MW and Alahmadi M and AlMuzaini A and AlMohammadi M;31976190;Yes;;2020;1;na;na;No;Yes;7;No;SA;SA;Al-Maghrabi Hospital;SA;
Increased risk for COVID-19 breakthrough infection in fully vaccinated patients with substance use disorders in the United States between December 2020 and August 2021.;Wang L and Wang Q and Davis PB and Volkow ND and Xu R;34612005;Yes;;2022;2;na;na;No;Yes;22;Yes;US;US;TriNetX;US;
Risk of cardiovascular events and death associated with initiation of SGLT2 inhibitors compared with DPP-4 inhibitors: an analysis from the CVD-REAL 2 multinational cohort study.;Kohsaka S and Lam CSP and Kim DJ and Cavender MA and Norhammar A and Jørgensen ME and Birkeland KI and Holl RW and Franch-Nadal J and Tangri N and Shaw JE and Ilomäki J and Karasik A and Goh SY and Chiang CE and Thuresson M and Chen H and Wittbrodt E and Bodegård J and Surmont F and Fenici P and Kosiborod M;32559476;Yes;;2020;7;2019;12;No;Yes;4;No;JP;AU;Multiple;AU, CA, DK, DE, IL, JP, NO, SG, KR, ES, SE, CN, US;7.0
Quantifying the Value of Multigene Testing in Resected Early Stage Lung Adenocarcinoma.;Muthusamy B and Raskina K and Lofgren KT and Li G and Tolba K and Schwed K and Castellanos E and Huang RSP and Oxnard GR and Schrock AB and Pennell N;36494074;No (excluded before screening);Outside the search period;2023;4;2022;9;No;Yes;2;No;US;US;Flatiron Health;US;7.0
Adoption and Deadoption of Medications to Treat Hospitalized Patients With COVID-19.;Barbash IJ and Davis BS and Minturn JS and Kahn JM;35923589;Yes;;2022;7;na;na;No;Yes;22;Yes;US;US;Optum;US;
Toward microelimination of hepatitis C and HIV coinfection in NHS Tayside, Scotland: Real-world outcomes.;Byrne C and Robinson E and Rae N and Dillon JF;33033752;Yes;;2020;12;2020;4;No;Yes;1;No;GB;GB;NHS Tayside ;GB;8.0
A retrospective cohort study evaluating healthcare resource utilization in patients with asthma in Japan.;Inoue H and Kozawa M and Milligan KL and Funakubo M and Igarashi A and Loefroth E;31036818;Yes;;2019;4;2018;9;No;Yes;10;No;JP;SE;Japan Medical Data Center;JP;7.0
Ramucirumab in Indian Patients with Advanced Gastric Cancer-Does Borderline Performance Status and Heavy Burden of Disease in Real World Practice Impact Clinical Benefit?;Ramaswamy A and Bajaj K and Talwar V and Prabhash K and Batra U and Dhabhar B and Sharma M and Ghadyalpatil N and Ct S and Goyal G and Muzamil J and Bhatt A and Jain P and Ranade A and Kamath M and Gawande JP and Thippeswamy R and Mirani J and Reddy N and Ganguly S and Mishra SK and Madabhavi I and Hp S and Panda SS and Patil S and Bhargava P and Ostwal V;35833042;Yes;;2022;1;na;na;No;Yes;2;No;IN;IN;Multiple;IN;
Blood pressure control and adverse outcomes of COVID-19 infection in patients with concomitant hypertension in Wuhan, China.;Ran J and Song Y and Zhuang Z and Han L and Zhao S and Cao P and Geng Y and Xu L and Qin J and He D and Wu F and Yang L;32855527;Yes;;2020;11;2020;7;No;Yes;22;Yes;CN;CN;Huoshenshan Hospital;CN;4.0
The Safety of Delayed Versus Immediate Antibiotic Prescribing for Upper Respiratory Tract Infections.;van Staa TP and Palin V and Brown B and Welfare W and Li Y and Ashcroft DM;32594104;Yes;;2021;7;2020;1;Yes;Yes;10;No;GB;GB;SAIL Databank, Clinical Practice Research Datalink;GB;18.0
Clinical Relevance of Drug-Drug Interactions With Antibiotics as Listed in a National Medication Formulary: Results From Two Large Population-Based Case-Control Studies in Patients Aged 65-100 Years Using Linked English Primary Care and Hospital Data.;van Staa TP and Pirmohamed M and Sharma A and Buchan I and Ashcroft DM;36448824;No (excluded before screening);Outside the search period;2023;2;2022;9;Yes;Yes;;No;GB;GB;Clinical Practice Research Datalink;GB;5.0
Headache, Opiate Use, and Prescribing Trends in Women With Idiopathic Intracranial Hypertension: A Population-Based Matched Cohort Study.;Adderley NJ and Subramanian A and Perrins M and Nirantharakumar K and Mollan SP and Sinclair AJ;35985824;Yes;;2022;10;2022;2;Yes;Yes;6;No;GB;GB;IQVIA Medical Research Data, The Health Improvement Network (THIN);GB;8.0
Use of digital periodontal data to compare periodontal treatment outcomes in a practice-based research network (PBRN): a proof of concept.;Peikert SA and Mittelhamm F and Frisch E and Vach K and Ratka-Krüger P and Woelber JP;33115466;Yes;;2020;10;2020;2;Yes;Yes;11;No;DE;DE;Multiple;DE;8.0
Retinal Changes in Schizophrenia: A Systematic Review and Meta-analysis Based on Individual Participant Data.;Kazakos CT and Karageorgiou V;31626695;Yes;;2020;1;na;na;Yes;No;5;No;GR;GR;Multiple;various;
Disorder predispositions and protections of Labrador Retrievers in the UK.;Pegram C and Woolley C and Brodbelt DC and Church DB and O'Neill DG;34262062;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;7;2020;9;No;Yes;;;;;;;10.0
Effectiveness of oral rotavirus vaccination in England against rotavirus-confirmed and all-cause acute gastroenteritis.;Walker JL and Andrews NJ and Atchison CJ and Collins S and Allen DJ and Ramsay ME and Ladhani SN and Thomas SL;31384727;Yes;;2019;4;2018;9;Yes;Yes;1;No;GB;GB;Clinical Practice Research Datalink;GB;7.0
First-generation versus second-generation long-acting injectable antipsychotic drugs and time to relapse.;Stone JM and Roux S and Taylor D and Morrison PD;30524701;Yes;;2018;12;2017;12;No;Yes;5;No;GB;GB;South London and Maudsley NHS Foundation Trust;GB;12.0
Healthcare resource use and costs of severe, uncontrolled eosinophilic asthma in the UK general population.;Kerkhof M and Tran TN and Soriano JB and Golam S and Gibson D and Hillyer EV and Price DB;28918400;Yes;;2018;2;2017;5;Yes;Yes;10;No;SG;SG;Clinical Practice Research Datalink, Optimum Patient Care Research Database;GB;9.0
Impact of the temporary suspension of the Bowel Screening Wales programme on inequalities during the COVID-19 pandemic: a retrospective register-based study.;Bright D and Song J and Hillier S and Huws DW and Greene G and Hodgson K and Akbari A and Griffiths R and Davies AR and Gjini A;36929968;No (excluded in full-paper screening);abstract only;2022;11;na;na;No;Yes;?;Yes;GB;GB;SAIL;GB;
Development and validation of a multivariable prediction model for infection-related complications in patients with common infections in UK primary care and the extent of risk-based prescribing of antibiotics.;Mistry C and Palin V and Li Y and Martin GP and Jenkins D and Welfare W and Ashcroft DM and van Staa T;32434588;Yes;;2020;5;2019;9;Yes;Yes;1;No;GB;GB;SAIL Databank, Clinical Practice Research Datalink;GB;8.0
Short proximal components in modular revision stems carry a higher risk for stem fractures.;Herold F and Nötzli H and Eijer H;31640427;Yes;;2021;5;na;na;No;Yes;13;No;CH;CH;Not precisely specified;CH;
A big-data approach to producing descriptive anthropometric references: a feasibility and validation study of paediatric growth charts.;Heude B and Scherdel P and Werner A and Le Guern M and Gelbert N and Walther D and Arnould M and Bellaïche M and Chevallier B and Cheymol J and Jobez E and N'Guyen S and Pietrement C and Reynaud R and Salaün JF and Khoshnood B and Zeitlin J and Maccario J and Breart G and Thalabard JC and Charles MA and Botton J and Frandji B and Chalumeau M;33323223;Yes;;2019;12;2019;7;No;Yes;;No;FR;FR;Multiple;FR;5.0
Provider Teams Outperform Solo Providers In Managing Chronic Diseases And Could Improve The Value Of Care.;Pany MJ and Chen L and Sheridan B and Huckman RS;33646870;Yes;;2021;3;na;na;No;Yes;;No;US;US;Athenahealth;US;
Each patient is a research biorepository: informatics-enabled research on surplus clinical specimens via the living BioBank.;Alekseyenko AV and Hamidi B and Faith TD and Crandall KA and Powers JG and Metts CL and Madory JE and Carroll SL and Obeid JS and Lenert LA;33166379;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;1;2020;5;No;Yes;;;;;;;8.0
The Society of Thoracic Surgeons General Thoracic Surgery Database: 2019 Update on Research.;Crabtree TD and Boffa DJ and Lobdell KW and Habib RH and Gaissert HA;31520641;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;11;2019;8;Yes;No;;;;;;;3.0
Counseling dropout, retention, and ethnic/language match for Asian Americans.;Presley S and Day SX;29517255;No (excluded in full-paper screening);No access;2019;8;na;na;Yes;No;;;US;US;;;
CHAIMELEON Project: Creation of a Pan-European Repository of Health Imaging Data for the Development of AI-Powered Cancer Management Tools.;Bonmatí LM and Miguel A and Suárez A and Aznar M and Beregi JP and Fournier L and Neri E and Laghi A and França M and Sardanelli F and Penzkofer T and Lambin P and Blanquer I and Menzel MI and Seymour K and Figueiras S and Krischak K and Martínez R and Mirsky Y and Yang G and Alberich-Bayarri Á;35280732;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;2021;7;No;Yes;;;;;;;
High prevalence of comorbid autoimmune diseases in adults with type 1 diabetes from the HealthFacts database.;Bao YK and Weide LG and Ganesan VC and Jakhar I and McGill JB and Sahil S and Cheng AL and Gaddis M and Drees BM;30226016;Yes;;2019;4;2018;6;No;Yes;4;No;US;US;HealthFacts / Cerner;US;10.0
Irish School Entry Screening referral trends and cohort comparison with preschool specialist referrals.;Pitt-Byrne T;29504414;Yes;;2018;7;na;na;No;Yes;;No;IE;;Multiple;IE;
Quantifying the natural variation in lesion counts over time in untreated hidradenitis suppurativa: Implications for outcome measures and trial design.;Frew JW and Jiang CS and Singh N and Navrazhina K and Vaughan R and Krueger JG;34409342;Yes;;2020;12;na;na;Yes;Yes;12;No;US;US;;US;
Trastuzumab-based regimens beyond progression: A crucial treatment option for HER2+ advanced/metastatic breast cancer.;Sanglier T and Ross R and Shi T and Mouta J and Swain S and Cardoso F;36375387;Yes;;2022;12;2022;7;Yes;Yes;2;No;CH;PT;Flatiron Health;US;5.0
Can AI predict epithelial lesion categories via automated analysis of cervical biopsies: The TissueNet challenge?;Loménie N and Bertrand C and Fick RHJ and Ben Hadj S and Tayart B and Tilmant C and Farré I and Azdad SZ and Dahmani S and Dequen G and Feng M and Xu K and Li Z and Prevot S and Bergeron C and Bataillon G and Devouassoux-Shisheboran M and Glaser C and Delaune A and Valmary-Degano S and Bertheau P;36605109;No (excluded in title and abstract screening);No tabular data;2022;;2022;7;No;Yes;;;;;;;
Using Ethereum blockchain to store and query pharmacogenomics data via smart contracts.;Gürsoy G and Brannon CM and Gerstein M;32487214;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2020;6;2019;11;No;Yes;;;;;;;7.0
Developing the infrastructure to support the optimisation of antibiotic prescribing using the learning healthcare system to improve healthcare services in the provision of primary care in England.;Palin V and Tempest E and Mistry C and van Staa TP;32565417;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2020;6;2020;3;Yes;No;;;;;;;3.0
The eICU Collaborative Research Database, a freely available multi-center database for critical care research.;Pollard TJ and Johnson AEW and Raffa JD and Celi LA and Mark RG and Badawi O;30204154;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;9;2018;1;Yes;No;;;;;;;8.0
NCI Imaging Data Commons.;Fedorov A and Longabaugh WJR and Pot D and Clunie DA and Pieper S and Aerts HJWL and Homeyer A and Lewis R and Akbarzadeh A and Bontempi D and Clifford W and Herrmann MD and Höfener H and Octaviano I and Osborne C and Paquette S and Petts J and Punzo D and Reyes M and Schacherer DP and Tian M and White G and Ziegler E and Shmulevich I and Pihl T and Wagner U and Farahani K and Kikinis R;34185678;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;8;2021;3;Yes;No;;;;;;;5.0
Mendelian Disease Associations Reveal Novel Insights into Inflammatory Bowel Disease.;Han L and Maciejewski M and Brockel C and Afzelius L and Altman RB;29462399;Yes;;2018;2;2017;8;No;Yes;11;No;US;US;Optum;US;6.0
The Effect of Nonsteroidal Anti-inflammatory Drugs and Selective COX-2 Inhibitors on Bone Healing.;White AE and Henry JK and Dziadosz D;34421436;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;7;2020;10;No;Yes;;;;;;;9.0
Evaluation of COVID-19 Mortality and Adverse Outcomes in US Patients With or Without Cancer.;Chavez-MacGregor M and Lei X and Zhao H and Scheet P and Giordano SH;34709356;Yes;;2022;1;na;na;No;Yes;22;Yes;US;US;Optum;US;
Classification of clinically relevant intravascular volume status using point of care ultrasound and machine learning.;Wshah S and Xu B and Steinharter J and Reilly C and Morrissette K;36186002;No (excluded in title and abstract screening);No tabular data;2022;9;2022;2;No;Yes;;;;;;;7.0
Development of Phenotyping Algorithms for the Identification of Organ Transplant Recipients: Cohort Study.;Wheless L and Baker L and Edwards L and Anand N and Birdwell K and Hanlon A and Chren MM;33156808;Yes;;2020;12;2020;1;No;Yes;;No;US;US;Vanderbilt University Medical Center;US;11.0
Predicting the immediate impact of national lockdown on neovascular age-related macular degeneration and associated visual morbidity: an INSIGHT Health Data Research Hub for Eye Health report.;Mollan SP and Fu DJ and Chuo CY and Gannon JG and Lee WH and Hopkins JJ and Hughes C and Denniston AK and Keane PA and Cantrell R;34518162;No (excluded before screening);Outside the search period;2023;2;2021;4;Yes;Yes;7;Yes;GB;US;INSIGHT;GB;22.0
Daratumumab-lenalidomide-dexamethasone vs standard-of-care regimens: Efficacy in transplant-ineligible untreated myeloma.;Durie BGM and Kumar SK and Usmani SZ and Nonyane BAS and Ammann EM and Lam A and Kobos R and Maiese EM and Facon T;32804408;Yes;;2020;12;2020;7;No;Yes;2;No;US;FR;Flatiron Health;US;5.0
Early Identification of Delirium in Intensive Care Unit Patients: Improving the Quality of Care.;Spiegelberg J and Song H and Pun B and Webb P and Boehm LM;32236428;Yes;;2020;4;na;na;No;Yes;5;No;US;US;Not precisely specified;US;
Investigating the relationship between thought interference, somatic passivity and outcomes in patients with psychosis: a natural language processing approach using a clinical records search platform in south London.;Magrangeas TT and Kolliakou A and Sanyal J and Patel R and Stewart R;35918110;Yes;;2022;8;na;na;No;Yes;5;No;GB;GB;South London and Maudsley NHS Foundation Trust;GB;
Toward Understanding the Value of Missing Social Determinants of Health Data in Care Transition Planning.;Feldman SS and Davlyatov G and Hall AG;32851616;Yes;;2020;8;na;na;No;Yes;;No;US;US;University of Alabama Hospital;US;
