Title;Authors;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin;Data origin (World Bank income group)
STAR sleep recording export software for automatic export and anonymization of sleep studies.;Nikkonen S and Korkalainen H and Töyräs J and Leppänen T;36151239;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;;
Preconception health service provision among women with and without substance use disorders.;Bello JK and Salas J and Grucza R;34871977;No (not retrieved);Not retrieved;2022;;;;;;;
Careful: An administrative child welfare and electronic health records linked dataset.;Beal SJ and Nause K and Ammerman RT and Hall ES and Mara CA and Greiner MV;35966947;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;;
Development of an Open-Source Annotated Glaucoma Medication Dataset From Clinical Notes in the Electronic Health Record.;Chen JS and Lin WC and Yang S and Chiang MF and Hribar MR;36441131;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;;
Protected Health Information Recognition of Unstructured Code-Mixed Electronic Health Records in Taiwan.;Lee YQ and Wang BH and Su CH and Chen PT and Lin WQ and Wu CS and Dai HJ;35673092;No (excluded in title and abstract screening);No medical research (focus on anonymization);2022;;;;;;;
Design and Development of a Medical Image Databank for Assisting Studies in Radiomics.;Kundu S and Chakraborty S and Mukhopadhyay J and Das S and Chatterjee S and Achari RB and Mallick I and Das PP and Arunsingh M and Bhattacharyyaa T and Ray S;35166968;No (excluded in title and abstract screening);No tabular data;2022;;;;;;;
Use of Dental Related ICD Coding to Determine Comorbidities in Mississippi.;Nordan P and Daneshvari Berry S and Morton ME;35440920;Yes;n/a;2022;11;No;US;US;Multiple;US;High-income economies
Treatment patterns and clinical outcomes for patients with melanoma and central nervous system metastases: A real-world study.;Tawbi H and To TM and Bartley K and Sadetsky N and Burton E and Haydu L and McKenna E;34874127;Yes;n/a;2022;2;No;US;US;Flatiron Health;US;High-income economies
How to Optimize Connection Between PACS and Clinical Data Warehouse: A Web Service Approach Based on Full Metadata Integration.;Lemordant P and Bouzille G and Mathieu R and Thenault R and Gibaud B and Garde C and Campillo-Gimenez B and Goudet D and Delarche S and Roland Y and Cuggia M;35672964;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;;
Updating Urinary Microbiome Analyses to Enhance Biologic Interpretation.;Siddiqui NY and Ma L and Brubaker L and Mao J and Hoffman C and Dahl EM and Wang Z and Karstens L;35899056;No (excluded in title and abstract screening);No tabular data;2022;;;;;;;
Validation pipeline for machine learning algorithm assessment for multiple vendors.;Bizzo BC and Ebrahimian S and Walters ME and Michalski MH and Andriole KP and Dreyer KJ and Kalra MK and Alkasab T and Digumarthy SR;35486572;No (excluded in title and abstract screening);No tabular data;2022;;;;;;;
Gender disparity in telehealth usage in Bangladesh during COVID-19.;Rahman S and Amit S and Kafy AA;35036972;Yes;n/a;2022;;Yes;BD;BD;Institute for Health Metrics and Evaluation;BD;Lower-middle-income economies
Ensemble Approaches to Recognize Protected Health Information in Radiology Reports.;Horng H and Steinkamp J and Kahn CE Jr and Cook TS;35715655;No (excluded in title and abstract screening);No tabular data;2022;;;;;;;
Systemic Lupus Erythematosus Delivery Outcomes Are Unchanged Across Three Decades.;Barnado A and Hubbard J and Green S and Camai A and Wheless L and Osmundson S;35670028;Yes;n/a;2022;13;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Predictive modeling of morbidity and mortality in COVID-19 hospitalized patients and its clinical implications.;Wang JM and Liu W and Chen X and McRae MP and McDevitt JT and Fenyö D;33300013;No (excluded before screening);preprint;2021;;;;;;;
Cost Analysis of Routine Vitrectomy Surgery.;Berkowitz ST and Sternberg P Jr and Patel S;33588067;No (not retrieved);Not retrieved;2021;;;;;;;
Sexual Orientation Demographic Data in a Clinical Cohort of Transgender Patients.;Dubin S and Cook TE and Radix A and Greene RE;33730758;Yes;n/a;2021;;No;US;US;New York University Langone Health;US;High-income economies
Student perceptions of a teaching electronic medical record in Health Administration education.;Taylor H and Brumitt G and Harle CA and Johnston A and Williams K and Vest JR;36474597;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;;
Emulating Control Arms for Cancer Clinical Trials Using External Cohorts Created From Electronic Health Record-Derived Real-World Data.;Tan K and Bryan J and Segal B and Bellomo L and Nussbaum N and Tucker M and Torres AZ and Bennette C and Capra W and Curtis M and Miksad RA;34197637;Yes;n/a;2022;2;No;US;US;Flatiron Health;US;High-income economies
The SHOnet learning health system: Infrastructure for continuous learning in pediatric rehabilitation.;Koscielniak N and Jenkins D and Hassani S and Buckon C and Tucker JS and Sienko S and Tucker CA;35860324;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;;
Identifying Determinants of Disparities in Lung Cancer Survival Rates from Electronic Health Record Data.;Cui W and Finkelstein J;35612188;Yes;n/a;2022;2;No;US;US;Mount Sinai Health System;US;High-income economies
Compilation of longitudinal gut microbiome, serum metabolome, and clinical data in acute myeloid leukemia.;Rashidi A and Ebadi M and Rehman TU and Elhusseini H and Halaweish H and Kaiser T and Holtan SG and Khoruts A and Weisdorf DJ and Staley C;35918343;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;;
I2b2-etl: Python application for importing electronic health data into the informatics for integrating biology and the bedside platform.;Wagholikar KB and Ainsworth L and Zelle D and Chaney K and Mendis M and Klann J and Blood AJ and Miller A and Chulyadyo R and Oates M and Gordon WJ and Aronson SJ and Scirica BM and Murphy SN;36053173;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2022;;;;;;;
Data Quality Check in Cancer Imaging Research: Deploying and Evaluating the DIQCT Tool.;Kosvyra A and Filos D and Fotopoulos D and Tsave O and Chouvarda I;36085798;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2022;;;;;;;
Combinatorial Analysis of Phenotypic and Clinical Risk Factors Associated With Hospitalized COVID-19 Patients.;Das S and Pearson M and Taylor K and Bouchet V and Møller GL and Hall TO and Strivens M and Tzeng KTH and Gardner S;34713134;Yes;n/a;2021;22;Yes;UK;UK;UnitedHealth Group;US;High-income economies
Aligning EHR Data for Pediatric Leukemia With Standard Protocol Therapy.;Wood NM and Davis S and Lewing K and Noel-MacDonnell J and Glynn EF and Caragea D and Hoffman MA;33656914;Yes;n/a;2021;2;No;US;US;Cerner Corporation;US;High-income economies
Identifying developmental stuttering and associated comorbidities in electronic health records and creating a phenome risk classifier.;Pruett DG and Shaw DM and Chen HH and Petty LE and Polikowsky HG and Kraft SJ and Jones RM and Below JE;33894541;Yes;n/a;2021;5;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Factors Associated with Thoughts of Self-Harm or Suicide among Aboriginal and Torres Strait Islander People Presenting to Urban Primary Care: An Analysis of De-Identified Clinical Data.;Pandeya NA and Schluter PJ and Spurling GK and Tyson C and Hayman NE and Askew DA;35010413;Yes;n/a;2021;5;No;AU;AU;Southern Queensland Centre of Excellence in Aboriginal and Torres Strait Islander Primary Health Care;AU;High-income economies
Recurrent neural network models (CovRNN) for predicting outcomes of patients with COVID-19 on admission to hospital: model development and validation using electronic health record data.;Rasmy L and Nigo M and Kannadath BS and Xie Z and Mao B and Patel K and Zhou Y and Zhang W and Ross A and Xu H and Zhi D;35466079;Yes;n/a;2022;22;Yes;US;US;Cerner Corporation, Optum;US;High-income economies
The US Department of Veterans Affairs Science and Health Initiative to Combat Infectious and Emerging Life-Threatening Diseases (VA SHIELD): A Biorepository Addressing National Health Threats.;Harley JB and Pyarajan S and Partan ES and Epstein L and Wertheim JA and Diwan A and Woods CW and Davey V and Blair S and Clark DH and Kaufman KM and Khan S and Chepelev I and Devine A and Cameron P and McCann MF and Ammons MCB and Bolz DD and Battles JK and Curtis JL and Holodniy M and Marconi VC and Searles CD and Beenhouwer DO and Brown ST and Moorman JP and Yao ZQ and Rodriguez-Barradas MC and Mohapatra S and Molina De Rodriguez OY and Padiernos EB and McIndoo ER and Price E and Burgoyne HM and Robey I and Schwenke DC and Shive CL and Przygodzki RM and Ramoni RB and Krull HK and Bonomo RA;36601554;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;;
Development and Implementation of a Multisite Registry Using Structured Templates for Actionable Findings in the Kidney.;Cook TS and Paulus R and Gillis LB and Chambers C and Nair SS and Deshmukh S and Sarwani NI and Zafar HM;35346619;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;;
Increased healthcare costs by later stage cancer diagnosis.;McGarvey N and Gitlin M and Fadli E and Chung KC;36096813;Yes;n/a;2022;2;No;US;US;Optum;US;High-income economies
Weather variables as important clinical predictors of bacterial diarrhoea among international travellers.;Pender MA and Smith T and Brintz BJ and Pandey P and Shrestha SK and Anuras S and Demons S and Sornsakrin S and Bodhidatta L and Platts-Mills JA and Leung DT;35134202;Yes;n/a;2022;1;No;US;US;Bumrungrad International Hospital, CIWEC Travel Medicine Center;TH, NP;
De-identifying Socioeconomic Data at the Census Tract Level for Medical Research Through Constraint-based Clustering.;Liu Y and Conway D and Wan Z and Kantarcioglu M and Vorobeychik Y and Malin BA;35309009;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;;;;;;;
Physician variation in the de-adoption of ineffective statin and fibrate therapy.;Everhart A and Desai NR and Dowd B and Herrin J and Higuera L and Jeffery MM and Jena AB and Ross JS and Shah ND and Smith LB and Karaca-Mandic P;33569804;Yes;n/a;2021;4;No;US;US;Optum;US;High-income economies
The diagnostic certainty levels of junior clinicians: A retrospective cohort study.;Chen Y and Nagendran M and Kilic Y and Cavlan D and Feather A and Westwood M and Rowland E and Gutteridge C and Lambiase PD;34112021;Yes;n/a;2022;;No;UK;UK;Royal London Hospital;UK;High-income economies
Leveraging genomic diversity for discovery in an electronic health record linked biobank: the UCLA ATLAS Community Health Initiative.;Johnson R and Ding Y and Venkateswaran V and Bhattacharya A and Boulier K and Chiu A and Knyazev S and Schwarz T and Freund M and Zhan L and Burch KS and Caggiano C and Hill B and Rakocz N and Balliu B and Denny CT and Sul JH and Zaitlen N and Arboleda VA and Halperin E and Sankararaman S and Butte MJ and Lajonchere C and Geschwind DH and Pasaniuc B;36085083;Yes;n/a;2022;;No;US;US;University of California Los Angeles;US;High-income economies
Mining the Data: Exploring Rural Patients' Attitudes about the Use of Their Personal Information in Research.;McCormick JB and Hopkins M and Lehman EB and Green MJ;35271430;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;;
Investigation of the Utility of Features in a Clinical De-identification Model: A Demonstration Using EHR Pathology Reports for Advanced NSCLC Patients.;Paul T and Rana MKZ and Tautam PA and Kotapati TVP and Jampani Y and Singh N and Islam H and Mandhadi V and Sharma V and Barnes M and Hammer RD and Mosa ASM;35252956;No (excluded in title and abstract screening);No medical research (focus on anonymization);2022;;;;;;;
Concept and Proof of the Lifelog Bigdata Platform for Digital Healthcare and Precision Medicine on the Cloud.;Lee KH and Urtnasan E and Hwang S and Lee HY and Lee JH and Koh SB and Youk H;35040609;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;;
Mortality and readmission in the year following hospitalization for pneumonia among US adults.;Averin A and Shaff M and Weycker D and Lonshteyn A and Sato R and Pelton SI;34087608;Yes;n/a;2021;10;No;US;US;Optum;US;High-income economies
Takotsubo cardiomyopathy in orthotopic liver transplant recipients: A cohort study using multi-center pooled electronic health record data.;Zmaili M and Alzubi J and Alkhayyat M and Cohen J and Alkharabsheh S and Rana M and Alvarez PA and Mansoor E and Xu B;35317180;Yes;n/a;2022;9;No;US;US;IBM;US;High-income economies
Trust and Trade-Offs in Sharing Data for Precision Medicine: A National Survey of Singapore.;Lysaght T and Ballantyne A and Toh HJ and Lau A and Ong S and Schaefer O and Shiraishi M and van den Boom W and Xafis V and Tai ES;34575698;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;;
Text mining occupations from the mental health electronic health record: a natural language processing approach using records from the Clinical Record Interactive Search (CRIS) platform in south London, UK.;Chilman N and Song X and Roberts A and Tolani E and Stewart R and Chui Z and Birnie K and Harber-Aschan L and Gazard B and Chandran D and Sanyal J and Hatch S and Kolliakou A and Das-Munshi J;33766838;Yes;n/a;2021;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK;High-income economies
The quest for better clinical word vectors: Ontology based and lexical vector augmentation versus clinical contextual embeddings.;Nath N and Lee SH and McDonnell MD and Lee I;34004575;No (not retrieved);Not retrieved;2021;;;;;;;
Barriers and facilitators to qualitative data sharing in the United States: A survey of qualitative researchers.;Mozersky J and McIntosh T and Walsh HA and Parsons MV and Goodman M and DuBois JM;34972126;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;;
A Novel Imputation Approach for Sharing Protected Public Health Data.;Erdman EA and Young LD and Bernson DL and Bauer C and Chui K and Stopka TJ;34529494;No (not retrieved);Not retrieved;2021;;;;;;;
Clinical Impact of Adherence to NCCN Guidelines for Biomarker Testing and First-Line Treatment in Advanced Non-Small Cell Lung Cancer (aNSCLC) Using Real-World Electronic Health Record Data.;John A and Yang B and Shah R;33537872;Yes;n/a;2021;2;No;US;US;Flatiron Health;US;High-income economies
Clinical Burden of Concomitant Joint Disease in Psoriasis: A US-Linked Claims and Electronic Health Records Database Analysis.;Skornicki M and Prince P and Suruki R and Lee E and Louder A;33818686;Yes;n/a;2021;12;No;US;US;Optum;US;High-income economies
Real-world treatment patterns and clinical outcomes among patients with advanced urothelial carcinoma in the United States.;Geynisman DM and Broughton E and Hao Y and Zhang Y and Le T and Huo S;34906410;Yes;n/a;2022;2;No;US;US;Flatiron Health;US;High-income economies
Rates of Pneumocystis jirovecii pneumonia and prophylaxis prescribing patterns in a large electronic health record cohort of patients with systemic lupus erythematosus.;Boone B and Lazaroff SM and Wheless L and Wolfe RM and Barnado A;36279805;Yes;n/a;2022;10;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Advancing data science in drug development through an innovative computational framework for data sharing and statistical analysis.;Mallon AM and Häring DA and Dahlke F and Aarden P and Afyouni S and Delbarre D and El Emam K and Ganjgahi H and Gardiner S and Kwok CH and West DM and Straiton E and Haemmerle S and Huffman A and Hofmann T and Kelly LJ and Krusche P and Laramee MC and Lheritier K and Ligozio G and Readie A and Santos L and Nichols TE and Branson J and Holmes C;34773974;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;;;;;;;
Understanding Women's Cardiovascular Health Using MyStrengths+MyHealth: A Patient-Generated Data Visualization Study of Strengths, Challenges, and Needs Differences.;Austin RR and Mathiason MA and Lindquist RA and McMahon SK and Pieczkiewicz DS and Monsen KA;33998130;Yes;n/a;2021;9;No;US;US;University of Minnesota;US;High-income economies
Validation of rule-based algorithms to determine colorectal, breast, and cervical cancer screening status using electronic health record data from an urban healthcare system in New York City.;Leder Macek AJ and Kirschenbaum JD and Ricklan SJ and Schreiber-Stainthorp W and Omene BC and Conderino S;34976656;Yes;n/a;2021;2;No;US;US;New York University Langone Health;US;High-income economies
Pediatric CYP2D6 metabolizer status and post-tonsillectomy nausea and vomiting after ondansetron.;Black K and Brenn BR and Gaedigk A and Wanderer JP and Van Driest SL;36350309;No (excluded before screening);Outside the search period;2023;;No;US;US;Vanderbilt University Medical Center;US;High-income economies
CYP2D6 genotype and reduced codeine analgesic effect in real-world clinical practice.;Carranza-Leon D and Dickson AL and Gaedigk A and Stein CM and Chung CP;33750887;Yes;n/a;2021;;No;US;US;Vanderbilt University Medical Center;US;High-income economies
History of Endometriosis Is Independently Associated with an Increased Risk of Ovarian Cancer.;Sarría-Santamera A and Khamitova Z and Gusmanov A and Terzic M and Polo-Santos M and Ortega MA and Asúnsolo A;36013285;Yes;n/a;2022;14;No;KZ;ES;Spanish National Health System;ES;High-income economies
Real-World Analysis of Thromboembolic Events and Mortality of COVID-19 Outpatients in the United States.;Peacock WF and Crawford JM and Chen YC and Ashton V and Campbell AK and Milentijevic D and Spyropoulos AC;35996822;Yes;n/a;2022;9;Yes;US;US;Optum;US;High-income economies
Predicting Discharge Destination of Critically Ill Patients Using Machine Learning.;Abad ZSH and Maslove DM and Lee J;32750906;No (not retrieved);Not retrieved;2021;;;;;;;
Early-onset eating disorders in Australian children: A national surveillance study showing increased incidence.;Morris A and Elliott E and Madden S;35979631;Yes;n/a;2022;5;No;AU;AU;Australian Paediatric Surveillance Unit;AU;High-income economies
The ReIMAGINE Multimodal Warehouse: Using Artificial Intelligence for Accurate Risk Stratification of Prostate Cancer.;Santaolalla A and Hulsen T and Davis J and Ahmed HU and Moore CM and Punwani S and Attard G and McCartan N and Emberton M and Coolen A and Van Hemelrijck M;34870187;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;;
COVID Symptoms, Symptom Clusters, and Predictors for Becoming a Long-Hauler Looking for Clarity in the Haze of the Pandemic.;Huang Y and Pinto MD and Borelli JL and Asgari Mehrabadi M and Abrahim HL and Dutt N and Lambert N and Nurmi EL and Chakraborty R and Rahmani AM and Downs CA;36154716;Yes;n/a;2022;22;Yes;US;US;University of California;US;High-income economies
Real-world treatment patterns of maintenance therapy in platinum-sensitive recurrent ovarian cancer.;Moss HA and Perhanidis JA and Havrilesky LJ and Secord AA;34301411;No (not retrieved);Not retrieved;2021;;;;;;;
Characterizing cancer and COVID-19 outcomes using electronic health records.;Kim Y and Zhu L and Zhu H and Li X and Huang Y and Gu C and Bush H and Chung C and Zhang GQ;35507598;Yes;n/a;2022;22;Yes;US;US;Optum;US;High-income economies
Estimating the prevalence of neurosurgical interventions in adults with spina bifida using the Health Facts data set: implications for transition planning and the development of adult clinics.;Domino JS and Lundy P and Glynn EF and Partington M;34952525;Yes;n/a;2022;17;No;US;US;Cerner Corporation;US;High-income economies
A deep attention model to forecast the Length Of Stay and the in-hospital mortality right on admission from ICD codes and demographic data.;Harerimana G and Kim JW and Jang B;33872817;Yes;n/a;2021;;No;KR;KR;Massachusetts Institute of Technology;US;High-income economies
Physician decision support system for idiopathic sudden sensorineural hearing loss patients.;Liao WH and Cheng YF and Chen YC and Lai YH and Lai F and Chu YC;33177402;Yes;n/a;2021;8;No;TW;TW;Taipei Veterans General Hospital;TW;High-income economies
Kidney, limb and ophthalmic complications, and death in patients with nonvalvular atrial fibrillation and type 2 diabetes prescribed rivaroxaban or warfarin: an electronic health record analysis.;Costa OS and O'Donnell B and Vardar B and Abdelgawwad K and Brescia CW and Sood N and Coleman CI;34166150;Yes;n/a;2021;9;No;US;US;Optum;US;High-income economies
Assessing Real-World Racial Differences Among Patients With Metastatic Triple-Negative Breast Cancer in US Community Practices.;Tan R and Cassoli L and Yan Y and Shen V and Day BM and Mitchell EP;35685754;Yes;n/a;2022;2;No;US;US;Flatiron Health;US;High-income economies
Describing characteristics and treatment patterns of patients hospitalized with COVID-19 by race and ethnicity in a national RWD during the early months of the pandemic.;Vititoe SE and Easthausen IJ and Lasky T and Chakravarty A and Bradley MC and Roe LM and Gatto NM and Weckstein AR and Garry EM;36155644;Yes;n/a;2022;22;Yes;US;US;Optum;US;High-income economies
Efficacy of immune checkpoint inhibitor therapy in patients with RET fusion-positive non-small-cell lung cancer.;Bhandari NR and Hess LM and Han Y and Zhu YE and Sireci AN;34139897;Yes;n/a;2021;2;No;US;US;Flatiron Health, Guardant Health;US;High-income economies
Early Prediction of Cardiogenic Shock Using Machine Learning.;Chang Y and Antonescu C and Ravindranath S and Dong J and Lu M and Vicario F and Wondrely L and Thompson P and Swearingen D and Acharya D;35911549;Yes;n/a;2022;18;No;US;US;Banner Health;US;High-income economies
QTc Prolongation with the Use of Hydroxychloroquine and Concomitant Arrhythmogenic Medications: A Retrospective Study Using Electronic Health Records Data.;Villa Zapata L and Boyce RD and Chou E and Hansten PD and Horn JR and Gephart SM and Subbian V and Romero A and Malone DC;35665910;Yes;n/a;2022;9;No;US;US;Cerner Corporation;US;High-income economies
Development of a novel machine learning model to predict presence of nonalcoholic steatohepatitis.;Docherty M and Regnier SA and Capkun G and Balp MM and Ye Q and Janssens N and Tietz A and Löffler J and Cai J and Pedrosa MC and Schattenberg JM;33684933;Yes;n/a;2021;11;No;US;DE;Optum, National Institute of Diabetes and Digestive and Kidney Diseases;US;High-income economies
Predicting the immediate impact of national lockdown on neovascular age-related macular degeneration and associated visual morbidity: an INSIGHT Health Data Research Hub for Eye Health report.;Mollan SP and Fu DJ and Chuo CY and Gannon JG and Lee WH and Hopkins JJ and Hughes C and Denniston AK and Keane PA and Cantrell R;34518162;No (excluded before screening);Outside the search period;2023;7;Yes;UK;US;INSIGHT;UK;High-income economies
Complement-mediated hemolysis persists year round in patients with cold agglutinin disease.;Röth A and Fryzek J and Jiang X and Reichert H and Patel P and Su J and Morales Arias J and Broome CM;34813663;Yes;n/a;2022;3;No;DE;US;Optum;US;High-income economies
Using business intelligence and data visualization to understand the characteristics of failed appointments in dental school clinics.;Weber K and DaSilva AF and Dault JT and Eber R and Huner K and Jones D and Kornman K and Ramaswamy V and Snyder M and Ward BB and Nalliah RP;33508149;Yes;n/a;2021;;No;US;US;University of Michigan;US;High-income economies
Sociodemographic and clinical factors associated with receipt of biomarker testing in patients with metastatic colorectal cancer.;Markt SC and Booker BD and Bensken W and Schiltz NK and Schumacher FR and Rose J and Cooper G and Selfridge JE and Koroukian SM;35837788;No (excluded before screening);Outside the search period;2023;2;No;US;US;Flatiron Health;US;High-income economies
Upper Gastrointestinal Bleeding Due to a Left Gastric Artery Pseudoaneurysm: A Case Series.;Kang S and Choi KD and Kim Y and Na HK and Lee JH and Ahn JY and Jung KW and Kim DH and Song HJ and Lee GH and Jung HY;36478315;No (excluded before screening);Outside the search period;2023;11;No;KR;KR;Asan Medical Center;KR;High-income economies
Identifying community chronic kidney disease risk profile utilising general practice clinical records and spatial analysis: approach to inform policy and practice.;Bagheri N and Pearce S and Mazumdar S and Sturgiss E and Haxhimolla H and Harley D;32449982;Yes;n/a;2021;14;No;AU;AU;Multiple;AU;High-income economies
Women with Rheumatoid Arthritis have similar rates of postpartum maternal outcomes compared to women without autoimmune disease.;Tarplin S and Hubbard J and Green S and Whitney R and Wheless L and Barnado A;35152084;Yes;n/a;2022;13;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Real-World Data of Palbociclib in Combination With Endocrine Therapy for the Treatment of Metastatic Breast Cancer in Men.;Kraus AL and Yu-Kite M and Mardekian J and Cotter MJ and Kim S and Decembrino J and Snow T and Carson KR and Motyl Rockland J and Gossai A and Wilner K and Wang DD and Huang Bartlett C and Oharu N and Schnell P and VanArsdale T and Lu DR and Tursi JM;34668577;Yes;n/a;2022;2;No;US;IT;Flatiron Health, Pfizer;US;High-income economies
Validity of algorithms for identifying five chronic conditions in MedicineInsight, an Australian national general practice database.;Havard A and Manski-Nankervis JA and Thistlethwaite J and Daniels B and Myton R and Tu K and Chidwick K;34090424;Yes;n/a;2021;;No;AU;AU;NPS MedicineWise;AU;High-income economies
Exploring public concerns for sharing and governance of personal health information: a focus group study.;McCormick JB and Hopkins MA;34926998;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;;
Real World Long-term Assessment of The Efficacy of Tocilizumab in Patients with COVID-19: Results From A Large De-identified Multicenter Electronic Health Record Dataset in the United States.;Nigo M and Rasmy L and May SB and Rao A and Karimaghaei S and Kannadath BS and De la Hoz A and Arias CA and Li L and Zhi D;34597766;Yes;n/a;2021;22;Yes;US;US;Cerner Corporation;US;High-income economies
Are adults with autism receiving regular preventive dental services?;McNeil R and Bray KK and Mitchell TV and Pendleton C and Marchini L;35636432;No (excluded before screening);Outside the search period;2023;5;No;US;US;University of Iowa;US;High-income economies
Phenotypic prevalence of obesity and metabolic syndrome among an underdiagnosed and underscreened population of over 50 million children and adults.;Kim EG and Kaelber DC;36147487;Yes;n/a;2022;4;No;US;US;Epic Systems Corporation;US;High-income economies
Comparative All-Cause Mortality Among a Large Population of Patients with Spinal Muscular Atrophy Versus Matched Controls.;Viscidi E and Juneja M and Wang J and Wang N and Li L and Farwell W and Bhan I and Makepeace C and Laird K and Kupelian V and Eaton S and Dilley A and Hall S;34936050;Yes;n/a;2022;6;No;US;US;Optum;US;High-income economies
Metabolic Acidosis and Cardiovascular Disease in CKD.;Collister D and Ferguson TW and Funk SE and Reaven NL and Mathur V and Tangri N;34746740;Yes;n/a;2021;14;No;CA;CA;Optum;US;High-income economies
Hydrops fetalis-trends in associated diagnoses and mortality from 1997-2018.;Tolia VN and Hunter Clark R Jr and Perelmuter B and Frankfurt JA and Ahmad KA and Abrams ME and Cohen JL and Clark RH;34385586;Yes;n/a;2021;16;No;US;US;Pediatrix Medical Group;US;High-income economies
Factors associated with COVID-19 viral and antibody test positivity and assessment of test concordance: a retrospective cohort study using electronic health records from the USA.;Lindsay L and Secrest MH and Rizzo S and Keebler DS and Yang F and Tsai L;34598988;Yes;n/a;2021;22;Yes;US;US;Optum;US;High-income economies
Impact of communication modality on caregiver ratings for deaf and hard of hearing children.;Fisher EL and Thibodaux LK and Previ D and Reesman J;34024209;Yes;n/a;2022;8;No;US;US;Not precisely specified;US;High-income economies
"Artificial Intelligence for Inflammatory Bowel Diseases (IBD); Accurately Predicting Adverse Outcomes Using Machine Learning.";Zand A and Stokes Z and Sharma A and van Deen WK and Hommes D;35476181;Yes;n/a;2022;11;No;US;US;Optum;US;High-income economies
Clinical efficacy, timing, and outcomes of ERCP for management of bile duct leaks: a nationwide cohort study.;Desai A and Twohig P and Trujillo S and Dalal S and Kochhar GS and Sandhu DS;33553588;Yes;n/a;2021;11;No;US;US;IBM;US;High-income economies
A practical approach to identifying autistic adults within the electronic health record.;Malow BA and Veatch OJ and Niu X and Fitzpatrick KA and Hucks D and Maxwell-Horn A and Davis LK;36377765;No (excluded before screening);Outside the search period;2023;5;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Hospital admissions for dental disorders in patients with severe mental illness in Southeast London: A register-based cohort study.;Chaturvedi J and Sabbah W and Gallagher JE and Turner J and Curl C and Stewart R;33538014;Yes;n/a;2021;11;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK;High-income economies
Building External Control Arms From Patient-Level Electronic Health Record Data to Replicate the Randomized IMblaze370 Control Arm in Metastatic Colorectal Cancer.;Schröder C and Lawrance M and Li C and Lenain C and Mhatre SK and Fakih M and Reyes-Rivera I and Bretscher MT;33891473;Yes;n/a;2021;2;No;CH;CH;Flatiron Health, Foundation Medicine;US;High-income economies
Artificial Intelligence for Prognostic Scores in Oncology: a Benchmarking Study.;Loureiro H and Becker T and Bauer-Mehren A and Ahmidi N and Weberpals J;33937744;Yes;n/a;2021;2;No;DE;DE;Flatiron Health;US;High-income economies
Mortality Prediction Analysis among COVID-19 Inpatients Using Clinical Variables and Deep Learning Chest Radiography Imaging Features.;Nguyen XV and Dikici E and Candemir S and Ball RL and Prevedello LM;35894016;Yes;n/a;2022;22;Yes;US;US;Stony Brook University;US;High-income economies
Clinico-Genomic Characterization of Patients with Metastatic Urothelial Carcinoma in Real-World Practice Identifies a Novel Bladder Immune Performance Index (BIPI).;Szabados B and Ponz-Sarvisé M and Machado R and Saldana D and Kadel EE and Banchereau R and Bouquet F and Garmhausen M and Powles T and Schröder C;35877091;Yes;n/a;2022;2;No;UK;CH;Flatiron Health;US;High-income economies
Predicting In-hospital Mortality Using D-Dimer in COVID-19 Patients With Acute Ischemic Stroke.;Kim Y and Khose S and Abdelkhaleq R and Salazar-Marioni S and Zhang GQ and Sheth SA;34335456;Yes;n/a;2021;9;Yes;US;US;Optum;US;High-income economies
Left truncation in linked data: A practical guide to understanding left truncation and applying it using SAS and R.;Jin Y and Ton TGN and Incerti D and Hu S;35843723;No (excluded before screening);Outside the search period;2023;;;;;;;
